api_number,depth_top,depth_bot,thickness,porosity
42-071-31566,2218.0296,2709.672,491.6424,0.15
42-071-31572,2151.2784,2712.72,561.4416,0.15
42-071-31586,2049.78,2712.72,662.94,0.15
42-071-31590,2229.612,2938.272,708.66,0.15
42-071-31599,2499.36,3230.88,731.52,0.15
42-071-31639,2218.0296,2709.672,491.6424,0.15
42-071-31666,2074.164,2697.48,623.316,0.15
42-071-31687,2468.88,3596.64,1127.76,0.15
42-071-31729,2247.2904,2771.5464,524.256,0.15
42-071-31768,1953.1584,2608.4784,655.32,0.15
42-071-31839,1990.344,2566.416,576.072,0.15
42-071-31844,2471.0136,3560.064,1089.0504,0.15
42-071-31856,2532.888,3402.7872,869.8992,0.15
42-071-31874,2399.9952,3126.6384,726.6432,0.15
42-071-31882,1040.2824,1851.66,811.3776,0.15
42-071-31905,2499.36,3901.44,1402.08,0.15
42-071-31907,1886.712,2743.2,856.488,0.15
42-071-31929,2430.78,3205.8864,775.1064,0.15
42-071-31944,1905,2542.032,637.032,0.15
42-071-32007,1840.992,3758.184,1917.192,0.15
42-071-32063,2368.296,3142.488,774.192,0.15
42-071-32067,2438.4,3255.264,816.864,0.15
42-071-32082,2471.928,3407.664,935.736,0.15
42-071-32132,2499.36,3482.34,982.98,0.15
42-071-32137,2377.44,3215.64,838.2,0.15
42-071-32158,2438.4,3535.68,1097.28,0.15
42-071-32186,2354.58,3017.52,662.94,0.15
42-071-32187,2380.488,3078.48,697.992,0.15
42-071-32189,2386.584,3108.96,722.376,0.15
42-071-32223,2310.384,3596.64,1286.256,0.15
42-071-32225,2433.828,3570.732,1136.904,0.15
42-071-32242,1886.712,2618.232,731.52,0.15
42-071-32252,2095.5,2709.0624,613.5624,0.15
42-071-32277,2133.6,2743.2,609.6,0.15
42-071-32333,2739.5424,4640.2752,1900.7328,0.15
42-071-32425,1990.344,2898.648,908.304,0.15
42-071-32445,2197.9128,2324.7096,126.7968,0.15
42-071-32524,2671.572,3405.2256,733.6536,0.15
42-071-32536,2654.1984,3311.0424,656.844,0.15
42-071-32579,2665.476,3414.0648,748.5888,0.15
42-071-32594,2535.936,3582.0096,1046.0736,0.15
42-071-32596,2661.2088,3456.7368,795.528,0.15
42-071-32600,2472.2328,3406.14,933.9072,0.15
42-071-32605,1810.512,2482.596,672.084,0.15
42-071-32623,1880.0064,2505.456,625.4496,0.15
42-071-32625,2645.0544,4044.0864,1399.032,0.15
42-089-30642,1127.76,1127.76,0,0.15
42-089-30936,883.92,1402.08,518.16,0.15
42-089-31530,914.4,1432.56,518.16,0.15
42-089-31609,871.728,1295.4,423.672,0.15
42-089-31628,929.64,929.64,0,0.15
42-089-31674,914.4,914.4,0,0.15
42-089-31689,914.4,914.4,0,0.15
42-089-31695,914.4,914.4,0,0.15
42-089-31701,865.632,1478.28,612.648,0.15
42-089-31710,941.832,1339.596,397.764,0.15
42-089-31711,1200.912,1374.648,173.736,0.15
42-089-31714,752.856,1158.24,405.384,0.15
42-089-31715,914.4,914.4,0,0.15
42-089-31726,749.808,886.968,137.16,0.15
42-089-31730,749.808,1164.336,414.528,0.15
