api_number,depth_top,depth_bot,thickness,porosity,coord_latitude,coord_longitude
42-047-32291,2618.8416,3069.336,450.4944,0.15,26.7893462,-98.0678444
42-047-32297,2129.028,2606.04,477.012,0.15,27.2063808,-98.0812249
42-047-32310,1076.8584,2265.2736,1188.4152,0.15,26.8715933,-98.3350245
42-047-32315,1932.432,2502.408,569.976,0.15,27.0526547,-98.1677671
42-047-32316,1484.376,2601.468,1117.092,0.15,27.195626,-98.0825464
42-047-32331,1100.0232,3194.304,2094.2808,0.15,27.2061273,-98.0148786
42-047-32332,2722.4736,2722.4736,0,0.15,27.2106527,-98.0341782
42-047-32333,2267.712,2164.08,-103.632,0.15,27.1439543,-98.0662468
42-047-32354,1743.456,2007.108,263.652,0.15,26.8866242,-98.3284643
42-047-32360,914.4,1249.68,335.28,0.15,27.2489889,-98.0389481
42-047-32366,1053.9984,2108.6064,1054.608,0.15,26.8800804,-98.3093406
42-047-32412,914.4,1249.68,335.28,0.15,27.0522603,-98.2048146
42-047-32452,1100.0232,3194.304,2094.2808,0.15,27.2118315,-98.0146546
42-047-32477,1179.576,2392.68,1213.104,0.15,26.8133253,-98.2754242
42-047-32483,1176.528,2435.352,1258.824,0.15,26.8118781,-98.2804311
42-047-32488,1176.528,2435.352,1258.824,0.15,26.8083246,-98.2775779
42-047-32492,1159.764,2421.636,1261.872,0.15,26.7984279,-98.2877452
42-047-32495,2346.96,2606.04,259.08,0.15,27.2351353,-98.1279386
42-047-32496,2159.2032,3239.4144,1080.2112,0.15,27.1400812,-98.0461179
42-047-32497,2184.1968,3131.82,947.6232,0.15,27.1487243,-98.0519385
42-047-32498,1147.8768,2895.6,1747.7232,0.15,26.905399,-98.1845817
42-047-32500,2346.96,2606.04,259.08,0.15,27.24505,-98.1248194
42-047-32501,2346.96,2606.04,259.08,0.15,27.2319333,-98.1278473
42-047-32502,1088.136,2834.64,1746.504,0.15,26.9090594,-98.1910106
42-047-32504,2346.96,2606.04,259.08,0.15,27.2484145,-98.1235988
42-047-32505,1097.28,2834.64,1737.36,0.15,26.9058376,-98.1896415
42-047-32507,2015.6424,3004.1088,988.4664,0.15,27.1468839,-98.061482
42-047-32508,2022.348,2898.0384,875.6904,0.15,27.1317369,-98.0625318
42-047-32511,2346.96,2606.04,259.08,0.15,27.2578352,-98.1693659
42-047-32513,1264.92,2292.096,1027.176,0.15,26.9312749,-98.2388052
42-047-32515,1124.712,2380.488,1255.776,0.15,26.9114417,-98.1858914
42-047-32517,1114.044,2363.724,1249.68,0.15,26.9144812,-98.1901366
42-047-32518,1569.72,2471.928,902.208,0.15,26.8756806,-98.1524589
42-047-32519,1118.616,2369.82,1251.204,0.15,26.912729,-98.1928571
42-047-32520,914.4,1249.68,335.28,0.15,27.1434753,-98.0692133
42-047-32536,1251.204,2791.968,1540.764,0.15,27.036549,-98.0537486
42-047-32538,1063.752,1188.72,124.968,0.15,26.9155434,-98.3156399
42-047-32539,865.632,1676.4,810.768,0.15,27.1785497,-98.3096918
42-057-30932,2377.44,1517.904,-859.536,0.15,28.4813528,-96.7009625
42-057-30962,1715.7192,2500.2744,784.5552,0.15,28.6188987,-96.7997071
42-057-31347,2165.604,3840.48,1674.876,0.15,28.6431173,-96.5350199
42-057-31370,2142.744,3999.2808,1856.5368,0.15,28.6464219,-96.5237083
42-057-31382,2240.28,3639.312,1399.032,0.15,28.6234868,-96.5331559
42-057-31393,2182.368,3974.592,1792.224,0.15,28.6390557,-96.5266543
42-057-31415,2194.56,3992.88,1798.32,0.15,28.6429259,-96.5197071
42-057-31419,2157.984,3810,1652.016,0.15,28.6498369,-96.5227808
42-057-31420,2145.792,3806.952,1661.16,0.15,28.649129,-96.5320233
42-057-31428,2267.712,3944.112,1676.4,0.15,28.6098181,-96.5238979
42-057-31495,2267.712,3944.112,1676.4,0.15,28.6140904,-96.5292299
42-071-03021,1804.416,2178.7104,374.2944,0.15,29.6411563,-94.9304141
42-071-30931,2552.7,3941.9784,1389.2784,0.15,29.7149784,-94.4464577
42-071-31396,2060.448,2697.48,637.032,0.15,29.8102546,-94.6518498
42-071-31407,2328.672,2970.276,641.604,0.15,29.7967016,-94.6759656
42-071-31439,2093.976,2694.432,600.456,0.15,29.7983188,-94.6553351
42-071-31477,2045.208,2738.628,693.42,0.15,29.7222137,-94.880925
42-071-31494,2074.164,2697.48,623.316,0.15,29.8147222,-94.6503231
42-071-31566,2218.0296,2709.672,491.6424,0.15,29.822078,-94.6415363
42-071-31572,2151.2784,2712.72,561.4416,0.15,29.8134587,-94.6634138
42-071-31586,2049.78,2712.72,662.94,0.15,29.8264215,-94.6322732
42-071-31590,2229.612,2938.272,708.66,0.15,29.8646234,-94.4514681
42-071-31599,2499.36,3230.88,731.52,0.15,29.814397,-94.6813905
42-071-31639,2218.0296,2709.672,491.6424,0.15,29.8165449,-94.6430984
